Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
rails/rails,https://github.com/rails/rails,dhh,"Chicago, USA",Ruby,"Ruby(96.72),HTML(1.60),JavaScript(1.04),CoffeeScript(0.34),CSS(0.26),Shell(0.04),Yacc(0.01)",Ruby on Rails,12285673,MIT,11851,32291,2008/04,3719,39485,2073167,1848786,3921953,2018-06-09 00:59:34,10.6171,1746,99,346,39848,16114,383,2.38,100,1117,11150,12267,3.2985,90.89,1,14,1,1,1,6,1,1,1
padrino/padrino-framework,https://github.com/padrino/padrino-framework,nesquena,"San Francisco, California",Ruby,"Ruby(96.32),HTML(2.58),CSS(0.73),JavaScript(0.37)",Padrino is a full-stack ruby framework built upon Sinatra. ,1296607,[Custom license],906,3121,2009/11,3133,3601,173672,137362,311034,2018-05-17 17:12:00,1.1494,282,86,75,3120,494,207,41.90,16,36,1316,1352,0.4315,97.34,5,11,4,5,4,2,2,3,2
sinatra/sinatra,https://github.com/sinatra/sinatra,[Unknown account],[Unknown],Ruby,"Ruby(99.48),HTML(0.41),Shell(0.07),CSS(0.03),Liquid(0.01),CoffeeScript(0.00)",Classy web-development dressed in a DSL (official / canonical repo),635459,MIT,0,9197,2009/01,3441,2518,108606,60285,168891,2018-06-08 16:00:12,0.7318,408,67,131,10007,1790,356,19.89,25,80,609,689,0.2002,88.39,2,13,2,3,2,8,8,2,3
jeremyevans/roda,https://github.com/jeremyevans/roda,soveran,[Unknown],Ruby,"Ruby(94.95),HTML(4.94),CSS(0.11),JavaScript(0.00)",Routing Tree Web Toolkit,776524,MIT,733,1946,2014/07,1427,1119,50523,21298,71821,2018-05-25 23:46:36,0.7842,133,64,45,1060,80,51,63.75,5,0,52,52,0.0364,100.00,7,3,10,7,5,1,6,7,4
hanami/hanami,https://github.com/hanami/hanami,jodosha,"Rome, Italy",Ruby,"Ruby(92.19),HTML(7.13),Shell(0.68)","The web, with simplicity.",575597,MIT,575,1702,2013/08,1773,1065,83271,64062,147333,2018-06-04 06:38:19,0.6007,94,138,35,4569,449,130,28.95,9,18,377,395,0.2228,95.44,3,5,13,9,6,3,9,4,5
Ramaze/ramaze,https://github.com/Ramaze/ramaze,manveru,Germany,Ruby,"Ruby(94.03),CSS(2.78),Nix(1.99),HTML(1.14),Mathematica(0.03),Liquid(0.03)","Ramaze is a simple, light and modular open-source web application framework written in Ruby.",411419,[Custom license],219,1201,2010/04,2988,3125,236645,186673,423318,2016-05-16 12:59:51,1.0459,183,135,11,343,34,49,144.12,9,15,41,56,0.0187,73.21,10,10,8,14,7,10,3,5,6
voltrb/volt,https://github.com/voltrb/volt,ryanstout,"Bozeman, MT",Ruby,"Ruby(91.63),HTML(6.91),JavaScript(1.37),CSS(0.09)",A Ruby web framework where your Ruby runs on both server and client,832461,MIT,185,644,2014/01,1619,1688,132624,93161,225785,2016-01-12 13:01:46,1.0426,32,133,164,3313,216,61,28.24,4,76,122,198,0.1223,61.62,4,4,14,2,10,14,4,8,7
pakyow/pakyow,https://github.com/pakyow/pakyow,bryanp,"Bellingham, WA",Ruby,"Ruby(71.09),HTML(22.57),JavaScript(6.32),CSS(0.01)",Design-First Web Framework,1682178,[Custom license],49,211,2010/10,2810,2185,243727,154425,398152,2018-06-08 23:00:24,0.7776,324,182,16,786,69,19,27.54,8,18,140,158,0.0562,88.61,8,8,3,11,13,7,7,6,8
ruby-hyperloop/hyper-react,https://github.com/ruby-hyperloop/hyper-react,zetachang,"Taipei, Taiwan",Ruby,"Ruby(99.46),HTML(0.54)",Opal Ruby wrapper of React.js library.,210638,MIT,120,329,2016/06,738,688,294601,283168,577769,2018-06-01 07:06:50,0.9322,142,839,32,290,10,14,140.00,4,70,180,250,0.3388,72.00,12,1,9,10,11,11,5,9,9
soveran/cuba,https://github.com/soveran/cuba,soveran,[Unknown],Ruby,"Ruby(99.38),HTML(0.53),Makefile(0.09)",Rum based microframework for web development.,46530,MIT,733,3436,2010/04,2975,263,6062,2754,8816,2018-01-17 21:52:15,0.0884,203,33,36,1291,179,25,13.97,3,3,36,39,0.0131,92.31,6,9,7,8,3,5,12,10,10
